title,authors,doi,url
A Novel Undergraduate Seminar Course Celebrating Scientific Contributions by Scientists from Historically Marginalized Communities,"Jesús A. Romo, Megan E. Rokop",10.1128/jmbe.00123-22,https://doi.org/10.1128/jmbe.00123-22
Empowering Women: Moving from Awareness to Action at the Immunology of Fungal Infections Gordon Research Conference,"Elizabeth R. Ballou, Sarah L. Gaffen, Neil A. R. Gow, and Amy G. Hise",10.3390/pathogens8030103,https://doi.org/10.3390/pathogens8030103
