id,name,sort_name,institution,country,region,research_area_1,research_area_2,keywords,website,website_2,career_stage,roster,notes,source
ene-iuliana,"Ene, Iuliana","ene, iuliana",Institut Pasteur,FR,Europe,Genetics/Genomics,Medical Mycology,Candida; drug resistance; antifungals; genome evolution,,,Junior,faculty,,wrifo-workbook; airtable
epstein-lynn,"Epstein, Lynn","epstein, lynn","Univ California, Davis",US,North America,Plant Pathology,Genetics/Genomics,Plant Pathology; Fungal genetics; development. Adhesion,http://plantpathology.ucdavis.edu/,,Senior,faculty,,wrifo-workbook; airtable
esher-righi-shannon,"Esher Righi, Shannon","esher righi, shannon",Tulane University,US,North America,Medical Mycology,Immunology,Innate immunology; Candida,,,Junior,faculty,,wrifo-workbook
fairhead-cecile,"Fairhead, Cécile","fairhead, cecile",Univ Paris-Sud 11,FR,Europe,Evolution,Genetics/Genomics,Evolutionary Biology; Saccharomyces,https://www.researchgate.net/profile/Cecile_Fairhead,,Intermediate,faculty,,wrifo-workbook; airtable
figueroa-melania,"Figueroa, Melania","figueroa, melania",University of Minnesota,US,North America,Plant Pathology,Genetics/Genomics,oat crown rust,https://plpa.cfans.umn.edu/people/faculty/melania-figueroa,,,faculty,,wrifo-workbook; airtable
fillinger-sabine,"Fillinger, Sabine","fillinger, sabine","INRA, Grignon",FR,Europe,Plant Pathology,Genetics/Genomics,Botrytis; Septoria; Fungicides; Genomics,http://www6.versailles-grignon.inra.fr/bioger/Equipes/AMAR,,Senior,faculty,,wrifo-workbook; airtable
fisher-monika,"Fisher, Monika","fisher, monika",University of British Columbia,CA,North America,Genetics/Genomics,Ecology,Fire adaptated fungi,https://sites.google.com/view/monikafischer/home,,Junior,faculty,,wrifo-workbook
forche-anja,"Forche, Anja","forche, anja",Bowdoin College,US,North America,Genetics/Genomics,Cell biology,Genome Integrity; Host-pathogen interactions; Candida,https://www.bowdoin.edu/faculty/a/aforche/,,Junior,faculty,,wrifo-workbook; airtable
foulongne-oriol-marie,"Foulongne-Oriol, Marie","foulongne-oriol, marie","INRA, Bordeaux",FR,Europe,Plant Pathology,Genetics/Genomics,Quantitative genetics; QTL; Genomics; Agaricus; Fusarium Head Blight; Mycotoxins,https://www.researchgate.net/profile/Marie_Foulongne-Oriol,,Intermediate,faculty,,wrifo-workbook; airtable
fournier-elisabeth,"Fournier, Elisabeth","fournier, elisabeth","INRA, Montpellier",FR,Europe,Plant Pathology,Genetics/Genomics,Magnaporthe oryzae; Rice blast; Population genetics; Population genomics; Tropical plant pathology,https://www.researchgate.net/profile/Elisabeth_Fournier,,Intermediate,faculty,,wrifo-workbook; airtable
frey-serita,"Frey, Serita","frey, serita",Univ New Hamsphire,US,North America,,,Soil Microbial Ecology/global warming,http://unh.edu/freylab/,,Senior,faculty,,wrifo-workbook; airtable
fritz-laylin-lillian,"Fritz-Laylin, Lillian","fritz-laylin, lillian","University of Massachusetts Amherst, USA",US,North America,Cell biology,Genetics/Genomics,Chytrid; Microscopy; motility,http://www.fritzlaylinlab.org/,,Junior,faculty,,wrifo-workbook; airtable
fryar-sally,"Fryar, Sally","fryar, sally","Flinders University,",AU,Australia/NZ,Ecology,Evolution,Freshwater fungi; marine fungi; ascomycete taxonomy; hyphomycete taxonomy,https://www.flinders.edu.au/people/sally.fryar,,Intermediate,faculty,,wrifo-workbook; airtable
fudal-isabelle,"Fudal, Isabelle","fudal, isabelle","INRA, Grignon",FR,Europe,Plant Pathology,Genetics/Genomics,Leptosphaeria maculans; Phoma stem canker; Genetics; Genomics; Effectors; Plant-Microbe Interactions; Epigenetics,https://www.researchgate.net/profile/Isabelle_Fudal,,Intermediate,faculty,,wrifo-workbook; airtable
gachon-claire,"Gachon, Claire","gachon, claire",Scottish Marine Institute,GB,Europe,,,oomycete-algae interactions,http://www.sams.ac.uk/claire-gachon/dr-claire-gachon-1,,Senior,faculty,,wrifo-workbook; airtable
gaffen-sarah,"Gaffen, Sarah","gaffen, sarah",Univ Pittsburgh,,North America,,,Fungal innate immunology; Interleukin-17; cytokines,http://www.immunology.pitt.edu/person/sarah-gaffen-phd,,Senior,faculty,,wrifo-workbook; airtable
gago-sara,"Gago, Sara","gago, sara",University of Manchester,GB,Europe,Medical Mycology,Cell biology,,https://www.research.manchester.ac.uk/portal/sara.gago-2.html,,Junior,faculty,,wrifo-workbook; airtable
gallery-rachel,"Gallery, Rachel","gallery, rachel",University of Arizona,US,North America,Ecology,Ecology,Plant-microbe interactions; tropical ecology; biodiversity,http://rachelgallery.arizona.edu,,Junior,faculty,,wrifo-workbook; airtable
