id,name,sort_name,institution,country,region,research_area_1,research_area_2,keywords,website,website_2,career_stage,roster,notes,source
johannesson-hanna,"Johannesson, Hanna","johannesson, hanna",Uppsala Univ,SE,Europe,Evolution,Genetics/Genomics,Evolution; Genomics; Neurospora,http://www.iob.uu.se/research/systematic-biology/johannesson,,Intermediate,faculty,,wrifo-workbook; airtable
johnson-linda,"Johnson, Linda","johnson, linda",AgResearch,NZ,Australia/NZ,Plant Pathology,Cell biology,Grass endophytes,http://www.agresearch.co.nz/teams/plant-fungal-interactions/,,Senior,faculty,,wrifo-workbook; airtable
jones-eirian,"Jones, Eirian","jones, eirian",Lincoln Univeristy,,Australia/NZ,Plant Pathology,Cell biology,Trichoderma; endophytes,http://www.lincoln.ac.nz/About-Lincoln/Staff-Profiles/?letter=J&page=1&StaffID=Jones%20Eirian&filtercsv=false&title=false&intro=false&maxrows=false&noframe=false&facultybu=false&ludepartment=false&first=false&tab=false,,Senior,faculty,,wrifo-workbook; airtable
jones-melanie,"Jones, Melanie","jones, melanie","University of British Columbia, Okanagan",CA,North America,Ecology,Evolution,Ectomycorrhizae; Plant-Microbe interactions; microbiology of forest soils; roots and hyphae physiology,http://joneslab.ok.ubc.ca/The_Jones_Lab.html,,Senior,faculty,,wrifo-workbook; airtable
joneson-suzanne,"Joneson, Suzanne","joneson, suzanne",Univ Wisconsin - Waukesha,,North America,Genetics/Genomics,Evolution,Lichen; Symbiosis,http://waukesha.uwc.edu/bio/suzanne-joneson,,Junior,faculty,,wrifo-workbook; airtable
kagami-maiko,"Kagami, Maiko","kagami, maiko","Toho University, Tokyo, Japan",,Asia,Ecology,Evolution,aquatic ecology; chytrid; mycoloop,http://www.lab.toho-u.ac.jp/sci/env/kagami/english/index.html,,Intermediate,faculty,,wrifo-workbook; airtable
kahmann-regine,"Kahmann, Regine","kahmann, regine",MPI-Marburg,DE,Europe,Plant Pathology,Genetics/Genomics,Plant-Microbe interactions; Ustilago,http://www.mpi-marburg.mpg.de/kahmann,,Senior,faculty,,wrifo-workbook; airtable
kaminskyj-susan,"Kaminskyj, Susan","kaminskyj, susan",Univ Saskatchawan,CA,North America,Biochemistry,Cell biology,Fungal Plant Symbiosis; Cytology,http://www.usask.ca/biology/kaminskyj/,,Senior,faculty,,wrifo-workbook; airtable
keller-nancy,"Keller, Nancy","keller, nancy",Univ Wisconsin,,North America,Biochemistry,Genetics/Genomics,Secondary Metabolite; Aspergillus,http://genetics.wisc.edu/Keller.htm,,Senior,faculty,,wrifo-workbook; airtable
kelliher-tina,"Kelliher, Tina","kelliher, tina","Univ Massachusetts, Boston",,North America,Genetics/Genomics,,Circadian Clocks; Neurospora,https://cmk35.github.io/,,Junior,faculty,,wrifo-workbook
kelly-joan,"Kelly, Joan","kelly, joan",Univ Adelaide,,Australia/NZ,Biochemistry,Genetics/Genomics,Carbon Catabolism; Aspergillus,https://biological.adelaide.edu.au/research/fhbg/,,Senior,faculty,,wrifo-workbook; airtable
kidd-sarah,"Kidd, Sarah","kidd, sarah",South Australia Pathology (AU); Univ Adelaide,AU,Australia/NZ,Medical Mycology,,Antifungals; Human pathogens; Cryptococcus; Aspergillus; Diagnostics,https://mycology.adelaide.edu.au/,,Intermediate,faculty,,wrifo-workbook; airtable
kiers-toby,"Kiers, Toby","kiers, toby",Vrije Universiteit,NL,Europe,Ecology,Evolution,Plant-Microbe Interaction; Mycorrhizal Fungi,https://www.tobykiers.com/the-science/,,Senior,faculty,,wrifo-workbook; airtable
kivlin-stephanie,"Kivlin, Stephanie","kivlin, stephanie",University of Tennessee,,North America,Ecology,,,https://skivlin.wordpress.com/,,Junior,faculty,,wrifo-workbook; airtable
kohn-linda,"Kohn, Linda","kohn, linda",Univ Toronto,CA,North America,Genetics/Genomics,Evolution,Evolution; Population Genetics; Ascomyces,https://www.utm.utoronto.ca/~kohnmank/,,Senior,faculty,,wrifo-workbook; airtable
kowalski-caitlin,"Kowalski, Caitlin","kowalski, caitlin",University of Oregon,,North America,Genetics/Genomics,Medical Mycology,fungal-bacterial interactions; skin microbiome; Malassezia; host-microbe interactions,https://caitlinkowalski.com/,,Postdoc,postdoc,,wrifo-workbook
kues-ursula,"Kues, Ursula","kues, ursula",Georg-August-Universität,DE,Europe,Development,Genetics/Genomics,Development; Proteomics; Genetics; Basidiomycetes; Coprinopsis,https://www.uni-goettingen.de/en/57999.html,,Senior,faculty,,wrifo-workbook; airtable
kuldau-gretchen,"Kuldau, Gretchen","kuldau, gretchen",Penn State University,,North America,Genetics/Genomics,,Fusarium mycotoxins,http://plantpath.psu.edu/directory/gak10,,Senior,faculty,,wrifo-workbook; airtable
labella-abigail,"LaBella, Abigail","labella, abigail","Univ of North Carolina, Charlotte",,North America,Genetics/Genomics,Evolution,codon usage; bioinformatics,https://www.abigailleavittlabella.com/,,Junior,faculty,,wrifo-workbook; airtable
laine-anna-liisa,"Laine, Anna-Liisa","laine, anna-liisa",University of Helsinki,FI,Europe,Ecology,Evolution,Ecology; Evolution; Epidemiology; Metapopulations,http://allaine.it.helsinki.fi,,Senior,faculty,,wrifo-workbook; airtable
leibundgut-landmann-salome,"LeibundGut-Landmann, Salome","leibundgut-landmann, salome",University of Zurich,CH,Europe,Immunology,Medical Mycology,Malassezia; Candida; barrier immunity; IL-17,https://www.vetvir.uzh.ch/de/Research/Immunology.html,,Intermediate,faculty,,wrifo-workbook; airtable
lenardon-megan,"Lenardon, Megan","lenardon, megan",Univ of Sydney,AU,Australia/NZ,Medical Mycology,Genetics/Genomics,Septation; Candida,https://www.abdn.ac.uk/ims/research/microbiology/profiles/m.lenardon,,Junior,faculty,,wrifo-workbook; airtable
lenassi-metka,"Lenassi, Metka","lenassi, metka",Univ. Ljubljana,SI,Europe,Genetics/Genomics,Signaling,Signaling; Saccharomyces; Halophillic Fungi; Hortaea,https://www.researchgate.net/profile/Metka_Lenassi,,Junior,faculty,,wrifo-workbook; airtable
li-mingchun,"Li, Mingchun","li, mingchun",Nankai University,CN,Asia,Biotechnology,Medical Mycology,Fungi for biofuels; biotechnology; Candida albicans,http://sky.nankai.edu.cn/english/teacher.asp?id=45,,Junior,faculty,,wrifo-workbook; airtable
limon-carmen,"Limón, Carmen","limon, carmen",University of Seville,ES,Europe,Genetics/Genomics,Biotechnology,Fusarium; secondary metabolism; carotenoid biosynthesis,http://personal.us.es/fraavacor/fg/Home.html,,Intermediate,faculty,,wrifo-workbook; airtable
lin-xiaorong,"Lin, Xiaorong","lin, xiaorong",Texas A&M,US,North America,Medical Mycology,,Med micro; Cryptococcus; Aspergillus,http://www.bio.tamu.edu/index.php/texas-am-department-of-biology-2/faculty-xiaorong-lin/,,Intermediate,faculty,,wrifo-workbook; airtable
liu-miao,"Liu, Miao","liu, miao",Agriculture and Agri-Food Canada,CA,North America,Evolution,Plant Pathology,Evolution; genomics; Ergot; entomopathogenic fungi; rusts,http://www.agr.gc.ca/eng/science-and-innovation/research-centres/ontario/ottawa-research-and-development-centre/scientific-staff-and-expertise/,,Junior,faculty,,wrifo-workbook; airtable
lodge-jennifer,"Lodge, Jennifer","lodge, jennifer",Duke University,US,North America,Medical Mycology,Genetics/Genomics,Cell walls; Cryptococcus,https://research.duke.edu/profile/jennifer-lodge,,Senior,faculty,,wrifo-workbook; airtable
loesgen-sandra,"Loesgen, Sandra","loesgen, sandra",University of Florida,US,North America,Biochemistry,Genetics/Genomics,Metabolites; Natural Products Chemistry; antifungals,http://loesgenlab.org/index.html,,Intermediate,faculty,,wrifo-workbook; airtable
lofgren-lotus,"Lofgren, Lotus","lofgren, lotus",University of California-Berkeley,CA,North America,Ecology,Genetics/Genomics,Suillus; Mushrooms; Aspergillus,https://www.lotuslofgren.com/,,Junior,faculty,,wrifo-workbook
longcore-joyce,"Longcore, Joyce","longcore, joyce",U Maine,US,North America,Evolution,Ecology,Chytrids; Batrachochytrium,https://umaine.edu/chytrids/,,Emeritus,faculty,,wrifo-workbook; airtable
loros-jennifer,"Loros, Jennifer","loros, jennifer",Dartmouth University,,North America,Genetics/Genomics,Biochemistry,Circadian Rythmns; Neurospora,https://geiselmed.dartmouth.edu/dunlaploros/,,Senior,faculty,,wrifo-workbook; airtable
lowe-elisabeth,"Lowe, Elisabeth","lowe, elisabeth",Newcastle Univ,GB,Europe,Biochemistry,Genetics/Genomics,bacteria-Fungi interactions; glycobiology; cell wall; microbiota,https://www.ncl.ac.uk/camb/staff/profile/elisabethlowe.html#research,,Junior,faculty,,wrifo-workbook; airtable
lu-ling,"Lu, Ling","lu, ling",Nanjing Normal University,CN,Asia,,,Aspergillus spp,http://sky.njnu.edu.cn/cn/shiziduiwu/lu-ling,,Senior,faculty,,wrifo-workbook; airtable
luangsa-ard-jennifer,"Luangsa-Ard, Jennifer","luangsa-ard, jennifer",National Center for Genetic Engineering and Biotechnology (BIOTEC),TH,Asia,Evolution,Ecology,Insect fungal diversity,https://www.researchgate.net/profile/Janet_Luangsa-Ard,,Intermediate,faculty,,wrifo-workbook; airtable
ma-li-jun,"Ma, Li-Jun","ma, li-jun","Univ Massachusetts, Amherst",,North America,Genetics/Genomics,Plant Pathology,Fusarium; Comparative Genomics; Plant Pathology,https://www.biochem.umass.edu/faculty/li-jun-ma,,Junior,faculty,,wrifo-workbook; airtable
ma-wenbo,"Ma, Wenbo","ma, wenbo",The Sainsbury Institute,GB,Europe,Plant Pathology,Genetics/Genomics,oomycete-plant interactions,https://wenboma.ucr.edu/,,Senior,faculty,,wrifo-workbook; airtable
macalpine-jessie,"MacAlpine, Jessie","macalpine, jessie",NIAID,US,North America,Medical Mycology,,,,,,postdoc,,wrifo-workbook
maccallum-donna,"MacCallum, Donna","maccallum, donna",Univ of Aberdeen,GB,Europe,Medical Mycology,,Virulence; Host-Pathogen interactions; Candida,https://www.abdn.ac.uk/ims/research/microbiology/profiles/d.m.maccallum,,Intermediate,faculty,,wrifo-workbook; airtable
malagnac-fabienne,"Malagnac, Fabienne","malagnac, fabienne",University of Paris-Sud,,Europe,Genetics/Genomics,Cell biology,Podospora anserina; Filamentous Ascomycetes; Sexual reproduction; Genomic stability; Epigenetics; Repeat Induced Point mutation,http://www.cgm.cnrs-gif.fr/spip.php?article976&lang=en,,Senior,faculty,,wrifo-workbook; airtable
manosalva-patty,"Manosalva, Patty","manosalva, patty","University of California, Riverside",US,North America,Plant Pathology,Genetics/Genomics,Phytopthora; Avocado Disease; Breeding,https://profiles.ucr.edu/app/home/profile/pmanosal,,Junior,faculty,,wrifo-workbook; airtable
maria-nunez,Maria Nunez,maria nunez,Mycoteam as,NO,Europe,Ecology,Medical Mycology,Molds; building ecology,http://www.mycoteam.no,,Senior,faculty,,wrifo-workbook; airtable
marshall-juliet,"Marshall, Juliet","marshall, juliet",Univ of Idaho,US,North America,,,Plant Pathologist; disease of small grains; Fusarium; rust,https://www.uidaho.edu/cals/pses/our-people/plant-science/juliet-marshall,,Senior,faculty,,wrifo-workbook; airtable
martinez-suz-laura,"Martinez Suz, Laura","martinez suz, laura","Royal Botanical Gardens, Kew",GB,Europe,Evolution,Ecology,Comparative biology; Fungal Biodiversity,https://www.kew.org/science/who-we-are-and-what-we-do/people/laura-martinez-suz,,Junior,faculty,,wrifo-workbook; airtable
may-georgiana,"May, Georgiana","may, georgiana",Univ of Minnesota,US,North America,Evolution,Genetics/Genomics,Genetics; Evolution; multispecies interactions,http://cbs.umn.edu/contacts/georgiana-may,,Senior,faculty,,wrifo-workbook; airtable
mcdonald-megan,"McDonald, Megan","mcdonald, megan",Australian National University,AU,Australia/NZ,Plant Pathology,Genetics/Genomics,Population Genetics; Genomics; Zymoseptoria,https://researchers.anu.edu.au/researchers/mcdonald-mc,,Postdoc,faculty,,wrifo-workbook
mcdonald-tami,"McDonald, Tami","mcdonald, tami",St. Catherine University,US,North America,,,Lichen; Symbiosis,https://www.stkate.edu/academics/our-faculty/tami-mcdonald,,Junior,faculty,,wrifo-workbook; airtable
mcdougal-rebecca,"McDougal, Rebecca","mcdougal, rebecca",Scion Research,NZ,Australia/NZ,,,forest pathogens,http://www.scionresearch.com/general/about-us/our-people/people/fs/rebecca-mcdougal,,Senior,faculty,,wrifo-workbook; airtable
mcguire-krista,"McGuire, Krista","mcguire, krista",University of Oregon,US,North America,Ecology,,mycorrhizal fungi; tropical ecology; urban ecology; human land use,https://mcguiremicrobialecology.com/,,Intermediate,faculty,,wrifo-workbook; airtable
mellado-emilia,"Mellado, Emilia","mellado, emilia",Instituto de Salud Carlos III,ES,Europe,Medical Mycology,Genetics/Genomics,Azole Resistance; genomics,https://www.isciii.es/QuienesSomos/CentrosPropios/CNM/Micologia/Paginas/default.aspx,,Senior,faculty,,wrifo-workbook; airtable
meyer-vera,"Meyer, Vera","meyer, vera",Technical University of Berlin,DE,Europe,Biotechnology,,Biotech; Aspergillus,https://www.mikrobiologie.tu-berlin.de/menue/cv_prof_vera_meyer/parameter/en/,,Senior,faculty,,wrifo-workbook; airtable
momany-michelle,"Momany, Michelle","momany, michelle",Univ Georgia,US,North America,Cell biology,Medical Mycology,Aspergillus; cytoskeleton; septins; cell cycle; conidia; antimicrobial resistance,http://www.plantbio.uga.edu/directory/michelle-momany,,Senior,faculty,,wrifo-workbook; airtable
morales-reyes-lucia-g,"Morales Reyes, Lucia G.","morales reyes, lucia g.",Universidad Nacional Autónoma de México,MX,North America,Evolution,Genetics/Genomics,interspecific hybrids; Saccharomycotina; genomics,http://liigh.unam.mx/lmorales/,,Junior,faculty,,wrifo-workbook; airtable
morel-rouhier-melanie,"Morel-Rouhier, Mélanie","morel-rouhier, melanie",University of Lorraine,FR,Europe,Biochemistry,Genetics/Genomics,Phanerochaete chrysosporium; Wood decayers; White rot fungi; Saprophytic fungi; Fungal physiology; Biochemistry; Detoxification; Oxidative stress response; Glutathione transferases,http://mycor.nancy.inra.fr/IAM/?page_id=108,,Intermediate,faculty,,wrifo-workbook; airtable
moslemi-azin,"Moslemi, Azin","moslemi, azin",University of Melbourne,,Australia/NZ,Plant Pathology,Evolution,Taxonomy; phylogeny; diagnostics,http://unimelb.academia.edu/AMoslemi,,Junior,faculty,,wrifo-workbook; airtable
mourino-perez-rosa,"Mouriño Pérez, Rosa","mourino perez, rosa",CICESE,MX,North America,Cell biology,,Cell biology; Imaging; Neurospora; Aspergillus,http://www.cicese.edu.mx/int/index.php?mod=persacd&dep=6801&op=fpa&numemp=2388,,Intermediate,faculty,,wrifo-workbook; airtable
mukaremera-lilliane,"Mukaremera, Lilliane","mukaremera, lilliane",University of Capetown,ZA,Africa,Medical Mycology,Genetics/Genomics,Cryptococcus,http://biosciences.exeter.ac.uk/staff/profile/?web_id=Liliane_Mukaremera,,Junior,faculty,,wrifo-workbook; airtable
munro-carol,"Munro, Carol","munro, carol",Univ of Aberdeen,GB,Europe,Cell biology,,Med Micro; Candida,http://www.abdn.ac.uk/ims/profiles/c.a.munro,,Intermediate,faculty,,wrifo-workbook; airtable
muszewska-ania,"Muszewska, Ania","muszewska, ania",Institute of Biochemistry and Biophysics PAS,PL,Europe,Genetics/Genomics,Medical Mycology,Transposons; protein family evolution; genome architecture; HGT; opportunistic pathogens; basal fungi; Mucoromycotina; Onygenales,http://www.ptmyk.pl/?page_id=428,,Junior,faculty,,wrifo-workbook; airtable
neema-claire,"Neema, Claire","neema, claire",Montpellier SupAgro,FR,Europe,Plant Pathology,Ecology,Population genetics; Epidemiology; Tropical plant pathology,https://www.researchgate.net/profile/Claire_Neema,,Senior,faculty,,wrifo-workbook; airtable
nett-jeniel,"Nett, Jeniel","nett, jeniel",Univ of Wisconsin-Madison,,North America,,,Med Micro; Candida,https://medmicro.wisc.edu/people_faculty_profile.php?id=jenett&view=intro,,Junior,faculty,,wrifo-workbook; airtable
neuveglise-cecile,"Neuvéglise, Cécile","neuveglise, cecile",MICALIS (INRA-AgroParisTech),FR,Europe,Genetics/Genomics,,Genomics; Cell Biology; Yarrowia,https://www.micalis.fr/Poles-et-Equipes/Pole-Biosys/BIMLip-Nicaud-Neuveglise/Membres-de-l-equipe/Cecile-Neuveglise,,Intermediate,faculty,,wrifo-workbook; airtable
nev-olga,"Nev, Olga","nev, olga",University of Exeter,GB,Europe,Cell biology,Medical Mycology,in silico metabolism; Pneumocystis,http://biosciences.exeter.ac.uk/staff/profile/index.php?web_id=Olga_Nev,,,faculty,,wrifo-workbook; airtable
nguyen-m-hong,"Nguyen, M. Hong","nguyen, m. hong",University of Pittsburgh,,North America,,,Med Mycol; Candida; clinical,https://www.dept-med.pitt.edu/ID/faculty_info.aspx?fp=5659,,Senior,faculty,,wrifo-workbook; airtable
nielsen-kirsten,"Nielsen, Kirsten","nielsen, kirsten",Unv Minnesota,,North America,Medical Mycology,,Med Micro; Cryptococcus,http://www.micab.umn.edu/faculty/Nielsen.html,,Intermediate,faculty,,wrifo-workbook; airtable
niskanen-tuula,"Niskanen, Tuula","niskanen, tuula","Royal Botanical Gardens, Kew",GB,Europe,Evolution,Ecology,Systematics; Fungal biodiversity; Taxonomy,https://www.kew.org/science/who-we-are-and-what-we-do/people/tuula-niskanen,,Junior,faculty,,wrifo-workbook; airtable
nobile-clarrisa,"Nobile, Clarrisa","nobile, clarrisa","Univ California, Merced",,North America,Medical Mycology,Genetics/Genomics,Fungal-Animal Pathogenesis; Candida,http://faculty.ucmerced.edu/nobilelab,,Junior,faculty,,wrifo-workbook; airtable
noble-suzanne,"Noble, Suzanne","noble, suzanne","Univ California, San Francisco",,North America,Medical Mycology,,Genetics; Pathogenesis; Candida,http://noblelab.ucsf.edu/users/suzanne-noble,,Intermediate,faculty,,wrifo-workbook; airtable
noverr-mairi,"Noverr, Mairi","noverr, mairi",Louisiana State Univ,,North America,Medical Mycology,,Med Mycol,https://www.medschool.lsuhsc.edu/microbiology/faculty_detail.aspx?name=noverr_mairi,,Intermediate,faculty,,wrifo-workbook; airtable
nowrousian-minou,"Nowrousian, Minou","nowrousian, minou",Ruhr University Bochum,DE,Europe,Genetics/Genomics,Development,Development; Genomics; Sordaria; Pyrenophora,http://homepage.ruhr-uni-bochum.de/Minou.Nowrousian/,,Intermediate,faculty,,wrifo-workbook; airtable
o-meara-teresa,"O'Meara, Teresa","o'meara, teresa",University of Michigan,US,North America,Genetics/Genomics,Medical Mycology,Host-pathogen interactions; stress; Evolution,https://medicine.umich.edu/dept/microbiology-immunology/teresa-omeara-phd,,Junior,faculty,,wrifo-workbook; airtable
opik-maarja,"Öpik, Maarja","opik, maarja",University of Tartu,EE,Europe,Evolution,Ecology,AMF; Taxonomy,https://www.botany.ut.ee/planteco/en/staff/maarja_opik.html,,Intermediate,faculty,,wrifo-workbook; airtable
opulente-dana-a,"Opulente, Dana A","opulente, dana a",Villanova University,,North America,Genetics/Genomics,Cell biology,Yeast; High-throughput phenotyping; Genomics; Sequencing,,,Junior,faculty,,wrifo-workbook; airtable
orejas-margarita,"Orejas, Margarita","orejas, margarita","Instituto de Tecnología de los Alimentos (IATA, CSIC)",ES,Europe,Biochemistry,Biotechnology,Aspergillus; enzyme production,http://w1.iata.csic.es/IATA/dbio/hong/?i=en,,Intermediate,faculty,,wrifo-workbook; airtable
ost-kyla,"Ost, Kyla","ost, kyla",Universtiy of Colorado,,North America,Immunology,Medical Mycology,Host-pathogen interactions; adaptive immunity,,,,faculty,,wrifo-workbook
ouellet-therese,"Ouellet, Therese","ouellet, therese",Agriculture and Agri-Food Canada,,North America,Genetics/Genomics,Plant Pathology,Plant Pathologist; fungal genomics; fungal cereal diseases,http://www.agr.gc.ca/eng/science-and-innovation/research-centres/ontario/ottawa-research-and-development-centre/scientific-staff-and-expertise/ouellet-therese-phd/?id=1181853251184,,Senior,faculty,,wrifo-workbook; airtable
padamsee-mahajabeen-maj,"Padamsee, Mahajabeen (Maj)","padamsee, mahajabeen (maj)",Manaaki whenua Land care Institute,NZ,Australia/NZ,Evolution,Plant Pathology,Systematics; Rust fungi; Plant Pathology; Evolution,https://www.landcareresearch.co.nz/about/people/staff-details?id=cGFkYW1zZWVt,,Junior,faculty,,wrifo-workbook; airtable
parkinson-louisa,"Parkinson, Louisa","parkinson, louisa",University of Queensland,,Australia/NZ,Plant Pathology,Genetics/Genomics,Diagnostics,https://researchers.uq.edu.au/researcher/20010,,Postdoc,postdoc,,wrifo-workbook
parra-giraldo-claudia-m,"Parra-Giraldo, Claudia M.","parra-giraldo, claudia m.",Pontificia Universidad Javeriana,CO,South America,Medical Mycology,Cell biology,Antifungals; Resistance; Candida; Cryptococcus; Aspergillus,http://ciencias.javeriana.edu.co/gei/integrantes,,Intermediate,faculty,,wrifo-workbook; airtable
partida-martinez-laila,"Partida-Martínez, Laila","partida-martinez, laila",Cinvestav,MX,North America,Plant Pathology,Genetics/Genomics,Bacteria-Fungi interactions; Plant Microbe Interactions; Plant Pathology,http://www.ira.cinvestav.mx/LMI.aspx,,Intermediate,faculty,,wrifo-workbook; airtable
pastor-fuentes-victoria,"Pastor-Fuentes, Victoria","pastor-fuentes, victoria",University Jaume I,ES,Europe,Plant Pathology,Signaling,Induced resisitance; priming; plant defense; plant-microbe interaction; metabolomics,http://www.nitropriming.wordpress.com,,Intermediate,faculty,,wrifo-workbook; airtable
pawlowska-teresa,"Pawlowska, Teresa","pawlowska, teresa",Cornell University,US,North America,Evolution,Genetics/Genomics,Plant Microbe Interactions; Evolution; Arbuscular Mycorrhizal Fungi,http://www.plantpath.cornell.edu/labs/pawlowska/Teresa.html,,Intermediate,faculty,,wrifo-workbook; airtable
pawowska-julia,"Pawłowska, Julia","pawowska, julia",University of Warsaw,PL,Europe,Evolution,Ecology,Systematics; Taxonomy; Mucoromycotina; phylogenetics; endophytes,https://ibe.biol.uw.edu.pl/en/people/pawlowska/,,Junior,faculty,,wrifo-workbook; airtable
peres-da-silva-roberta,"Peres da Silva, Roberta","peres da silva, roberta",University of Exeter,GB,Europe,Genetics/Genomics,Medical Mycology,Paracocccidioides; Sporothrix; extracellular vesicles,http://biosciences.exeter.ac.uk/staff/profile/index.php?web_id=Roberta_Peres,,,faculty,,wrifo-workbook; airtable
pfeufer-emily,"Pfeufer, Emily","pfeufer, emily",Univ of Kentucky,US,North America,Plant Pathology,,Plant Pathology: vegetable disease; esp. high tunnels. Sclerotinia,http://www2.ca.uky.edu/agcollege/plantpathology/people/pfeufer.htm,,Junior,faculty,,wrifo-workbook; airtable
pirofski-liise-anne,"Pirofski, Liise-anne","pirofski, liise-anne",Albert Einstein College of Medicine,,North America,Medical Mycology,Immunology,Capsule; antibody; cryptococcus; immunotherapy,http://www.einstein.yu.edu/faculty/8131/liise-anne-pirofski/,,Senior,faculty,,wrifo-workbook; airtable
poggeler-stefanie,"Pöggeler, Stefanie","poggeler, stefanie",Georg-August-Universität,DE,Europe,Development,Evolution,Development; Genetics; Sordaria,https://www.uni-goettingen.de/en/prof-dr-stefanie-poumlggeler/435740.html,,Intermediate,faculty,,wrifo-workbook; airtable
pohl-carolina,"Pohl, Carolina","pohl, carolina",University of the Free State,ZA,Africa,Genetics/Genomics,,oxylipin signaling; spore development,http://natagri.ufs.ac.za/templates/staffmember.aspx?DCode=112&pid=2a%2FOeZ9e6Eo%3D,,Intermediate,faculty,,wrifo-workbook; airtable
ponts-nadia,"Ponts, Nadia","ponts, nadia",INRA-Bordeaux,FR,Europe,Genetics/Genomics,,Mycotoxin; Genomics; Fusarium,https://www.researchgate.net/profile/Nadia_Ponts,,Junior,faculty,,wrifo-workbook; airtable
porras-alfaro-andrea,"Porras-Alfaro, Andrea","porras-alfaro, andrea",Western Illinois Univ,,North America,Ecology,Genetics/Genomics,Mycology; Evolution,http://www.wiu.edu/cas/biological_sciences/faculty/porrasalfaro.php,,Intermediate,faculty,,wrifo-workbook; airtable
powell-martha,"Powell, Martha","powell, martha",University of Alabama,US,North America,Evolution,Cell biology,chytrids; taxonomy,http://chytrid.as.ua.edu/,,Emeritus,faculty,,wrifo-workbook; airtable
pringle-anne,"Pringle, Anne","pringle, anne",Univ Wisconsin,US,North America,Ecology,Evolution,Ecology; Evolution; Mushrooms,http://www.botany.wisc.edu/pringlelab/,,Intermediate,faculty,,wrifo-workbook; airtable
quandt-alisha,"Quandt, Alisha","quandt, alisha",University of Colorado-Boulder,US,North America,Evolution,Genetics/Genomics,Metagenomics; Mycology,http://alishaowensbyquandt.weebly.com/,,Junior,faculty,,wrifo-workbook; airtable
quesada-lina,"Quesada, Lina","quesada, lina",NC State Univ,US,North America,Plant Pathology,,Vegetable Pathology; Fungi,https://plantpathology.ces.ncsu.edu/profile/lina-quesada-ocampo/,,Junior,faculty,,wrifo-workbook; airtable
quinn-jan,"Quinn, Jan","quinn, jan",Newcastle Univ,GB,Europe,Medical Mycology,Signaling,Candida; signalling; oxidative stress,http://www.ncl.ac.uk/camb/staff/profile/janetquinn.html,,Senior,faculty,,wrifo-workbook; airtable
quintin-jessica,"Quintin, Jessica","quintin, jessica",Pasteur Inst,FR,Europe,Medical Mycology,Genetics/Genomics,Candida; innate immunity,https://research.pasteur.fr/en/member/jessica-quintin/,,Junior,faculty,,wrifo-workbook; airtable
ramirez-lucia,"Ramirez, Lucia","ramirez, lucia",University of Navarra,ES,Europe,Genetics/Genomics,Biotechnology,Pleurotus; biotechnology; mushroom development,http://www.unavarra.es/dep-produccionagraria/personal/personal-docente-e-investigador?rangoLetras=rst&uid=425,,Intermediate,faculty,,wrifo-workbook; airtable
rao-reeta,"Rao, Reeta","rao, reeta",Worcester Polytechnic Institute,US,North America,Medical Mycology,Genetics/Genomics,Virulence factors; Immunity; cell biology,https://www.wpi.edu/people/faculty/rpr,,Intermediate,faculty,,wrifo-workbook; airtable
reblova-martina,"Réblová, Martina","reblova, martina","Institute of Botany, Pruhonice, Czeck Republic",,Europe,Evolution,,Taxonomy; pyrenomycetes,http://www.ibot.cas.cz/en/lide/114,,Senior,faculty,,wrifo-workbook; airtable
reck-peterson-samara,"Reck-Peterson, Samara","reck-peterson, samara",Univ California San Diego,US,North America,Cell biology,Genetics/Genomics,Cell biology; Aspergillus,http://reck-peterson.ucsd.edu/,,Senior,faculty,,wrifo-workbook; airtable
redman-regina,"Redman, Regina","redman, regina",Symbiogenics,,North America,,,Endophytes,http://www.symbiogenics.org/about-us.html,,Senior,faculty,,wrifo-workbook; airtable
requena-natalia,"Requena, Natalia","requena, natalia",Univ. Karlsruhe,DE,Europe,Cell biology,Genetics/Genomics,Plant-Microbe interactions; Arbuscular mycorrhizal fungi,http://www.iab.kit.edu/heisenberg/Staff_454.php,,Senior,faculty,,wrifo-workbook; airtable
reynolds-hannah,"Reynolds, Hannah","reynolds, hannah",Western Connecticut State Univ,US,North America,Genetics/Genomics,Ecology,Pathogenicity; White-nose syndrome; evolution; soil,https://www.wcsu.edu/biology/surf/faculty-mentors/reynolds/,,Junior,faculty,,wrifo-workbook; airtable
reynolds-nicole,"Reynolds, Nicole","reynolds, nicole","California State Polytechnic University, Pomona (Cal Poly Pomona)",US,North America,Evolution,Genetics/Genomics,zygomycetes; bacteria-fungi interactions; mucoromycota; zoopagomycota,,,Junior,faculty,,wrifo-workbook
rhodes-johanna,"Rhodes, Johanna","rhodes, johanna",Imperial College London,GB,Europe,Genetics/Genomics,Evolution,Phylogenetics; Population genomics,http://www.imperial.ac.uk/people/johanna.rhodes,,Postdoc,faculty,,wrifo-workbook
richardson-riina,"Richardson, Riina","richardson, riina",Manchester,,Europe,Medical Mycology,,clin mycology / diagnostics,,,,faculty,,wrifo-workbook
