Name,Institution (Country code),Region (select from pulldown),Research Area 1 (select from pulldown),Research Area 2 (select from pulldown),Keywords,"Lab website (research website, Not linkedIn etc)",Career Stage Jr=asst prof or equiv; Sr=full prof or equiv),
"Bradshaw, Rosie",Massey University (NZ),Australia/NZ,,,"Fungal-plant interactions, Phytophtera, omics",http://www.massey.ac.nz/massey/learning/colleges/college-of-sciences/staff-list.cfm?stref=449130,Senior,
"Butler, Geraldine","Univ College, Dublin (IE)",Europe,Genetics/Genomics,Cell biology,Evolution; Mating; Candida,http://www.ucd.ie/conway/research/researchers/conwayfellowsa-z/professorgeraldinebutler/,Senior,
"Callan, Brenda","BC Ministry of Forests, Victoria",North America,Evolution,Plant Pathology,Taxonomy; Forest Pathology,https://cfs.nrcan.gc.ca/employes/vue/bcallan,Senior,
"Cantrell, Sharon",University Turabo (PR),North America,Ecology,Evolution,"Taxonomy, systematics and evolution of fungi",https://psla.umd.edu/people/dr-priscila-chaverri,Senior,
"Carris, Lori","Washington State Univ, Pulmann",North America,Plant Pathology,Evolution,Plant pathology; taxonomy,plantpath.wsu.edu/people/faculty/carris/,Senior,
"Carter, Dee",Sydney Univ (AUS),Australia/NZ,Genetics/Genomics,Medical Mycology,Med Micro; Cryptococcus; Candida,https://sydney.edu.au/science/people/dee.carter.php,Senior,
"Castaño, Irene","Instituto Potosino de Investigación Científica y Tecnológica, IPICYT (MX)",North America,Genetics/Genomics,Medical Mycology,"Candida glabrata, virulence genes, mating genes",http://www.ipicyt.edu.mx/curricular/IreneBeatrizCasta%C3%B1oNavarro,Senior,
"Castlebury, Lisa",ARS Systematic Mycology Lab,North America,Evolution,Plant Pathology,Taxonomy; phylogeny; pyrenomycetes,http://www.ars.usda.gov/pandp/people/people.htm?personid=10294,Senior,
"Castro-Longoria, Ernestina",CICESE (MX),North America,Cell biology,Biotechnology,"Polarity factors, nanoparticles, Neurospora crassa",http://www.cicese.edu.mx/int/index.php?mod=persacd&dep=6801&op=fpa&numemp=2026,Senior,
"Chen, Jiangye",Shanghai Institutes for Biological Sciences (CN),Asia,Medical Mycology,Genetics/Genomics,Candida albicans development,http://www.sibcb.ac.cn/ePI.asp?id=53,Senior,
"Ciuffetti, Lynda",Oregon State University (US),North America,Plant Pathology,Genetics/Genomics,Plant Pathology; Pyrenophora,http://bpp.oregonstate.edu/ciuffetti,Senior,
"Cuomo, Christina",Broad Inst. (US),North America,Genetics/Genomics,Medical Mycology,Comparative genomics; genome sequencing,https://www.broadinstitute.org/bios/christina-cuomo,Senior,
"Cushion, Melanie",Univ of Cincinnati (US),North America,Medical Mycology,Genetics/Genomics,Pneumocystis,https://med.uc.edu/landing-pages/faculty-profile/Index/Pubs/cushiomt,Senior,
"Dalpé, Yolande",Agriculture & Agri-Food Canada (CA),North America,Evolution,Ecology,VA Mycorrhizae; taxonomy; agricultural application,http://www.agr.gc.ca/eng/science-and-innovation/research-centres/ontario/ottawa-research-and-development-centre/scientific-staff-and-expertise/dalpe-yolande-dsc/?id=1181935178523,Senior,
"Davis, Meryl",Univ of Melbourne (AUS),Australia/NZ,,,"Nitrogen regulation, Aspergillus",,Senior,
"de Souza, Elene Aparecida",Universite Federal de Lavras (BR),South America,,,"Plant resistance to fungal disease, fungal population biology, fungal development (CATS)",,Senior,
"de Vallavieille-Pope, Claude","INRA, Grignon (FR)",Europe,Plant Pathology,Ecology,Wheat stripe rust; Epidemiology; Population biology,https://www.researchgate.net/profile/Claude_Vallavieille-Pope,Senior,
"Desprez-Loustau, Marie-Laure","INRA, Bordeaux (FR)",Europe,Ecology,Evolution,Ecology; Evolution; Epidemiology; Forest pathology; Oak mildew; Climate change,https://www6.bordeaux-aquitaine.inra.fr/biogeco/Personnel/Annuaire/D-F/Desprez-Loustau-Marie-Laure,Senior,
"Doering, Tamara",Washington Univ,North America,Medical Mycology,Biochemistry/Genomics,Med Mycology; Cryptococcus; Glycobiology,doeringlab.com,Senior,
"Dupont, Joelle","Natural History National Museum, Paris (FR)",Europe,Ecology,Evolution,Mycology; Taxonomy; Systematics; Phylogeny; Ecology; Biodiversity,http://isyeb.mnhn.fr/annuaire-et-pages-personnelles/pages-personnelles/DUPONT-Joelle,Senior,
"Epstein, Lynn","Univ California, Davis",North America,Plant Pathology,Genetics/Genomics,"Plant Pathology; Fungal genetics, development. Adhesion",http://plantpathology.ucdavis.edu/,Senior,
"Fillinger, Sabine","INRA, Grignon (FR)",Europe,Plant Pathology,Genetics/Genomics,Botrytis; Septoria; Fungicides; Genomics,http://www6.versailles-grignon.inra.fr/bioger/Equipes/AMAR,Senior,
"Frey, Serita",Univ New Hamsphire,North America,,,Soil Microbial Ecology/global warming,http://unh.edu/freylab/,Senior,
"Gachon, Claire",Scottish Marine Institute (UK),Europe,,,oomycete-algae interactions,http://www.sams.ac.uk/claire-gachon/dr-claire-gachon-1,Senior,
"Gaffen, Sarah",Univ Pittsburgh,North America,,,"Fungal innate immunology; Interleukin-17, cytokines",http://www.immunology.pitt.edu/person/sarah-gaffen-phd,Senior,
"Ganley, Rebecca",Scion Research,Australia/NZ,,,forest pathogens and endophytes,http://www.scionresearch.com/general/about-us/our-people/people/fs/beccy-ganley,Senior,
"Gardes, Monique",Paul Sabatier University (FR),Europe,Ecology,Genetics/Genomics,"Ectomycorrhizal fungi; Symbiosis; Ecology, Phylogeny",https://www.researchgate.net/profile/Monique_Gardes,Senior,
"Giovannetti, Manuela",University of Pisa (IT),Europe,,,,http://unimap.unipi.it/cercapersone/dettaglio.php?ri=226&template=dettaglio.tpl,Senior,
"Giraud, Tatiana",Univ Paris-Sud (FR),Europe,Evolution,Genetics/Genomics,Evolution; Microbotryum; Anther smut; Penicillium; Apple scab; Speciation; Co-speciation; Mating type evolution; Sex evolution; Invasive pathogens; Hybridization; Host jump,http://www.ese.u-psud.fr/article211.html?lang=en,Senior,
"Glass, Louise","Univ California, Berkeley (US)",North America,Genetics/Genomics,Cell biology,Fungal Genetics; Plant Biomass degradation; Neurospora,http://glasslab.berkeley.edu/,Senior,
"Govers, Francine",Wageningen Univ (NL),Europe,Plant Pathology,Genetics/Genomics,Plant-Microbe Interactios; Phytophthora,https://www.wageningenur.nl/en/Persons/Francine-Govers-1.htm,Senior,
"Guerra-Sánchez, Guadalupe",Instituto Politécnico Nacional (MX),North America,Biochemistry,Biotechnology,"fungus control; yeasts, Basidiomycetes, Microbe interactions",https://www.encb.ipn.mx/posgrado/maestria-ciencias-quimico-biologicas/guerra-sanchez.html,Senior,
"Gunde-Cimerman, Nina",Univ. Ljubljana (SI),Europe,Genetics/Genomics,Medical Mycology,Extremophile Fungi; Aureobasidium; Hortaea,https://www.researchgate.net/profile/Nina_Gunde-cimerman,Senior,
"Gurr, Sarah",Univ Exeter (UK),Europe,Plant Pathology,,Crop disease; Biotechnology; Magnaporthe,http://biosciences.exeter.ac.uk/staff/index.php?web_id=Sarah_Gurr,Senior,
"Harris, Linda",Agriculture and Agri-Food Canada (CA),North America,Genetics/Genomics,Plant Pathology,"Plant Pathologist, fungal genomics, fungal cereal diseases",http://www.agr.gc.ca/eng/science-and-innovation/research-centres/ontario/ottawa-research-and-development-centre/scientific-staff-and-expertise/harris-linda-phd/?id=1181940192397,Senior,
"Harrison, Maria",Boyce-Thompson Institute (US),North America,Genetics/Genomics,Cell biology,Plant-Microbe interactions; Arbuscular mycorrhizal fungi,http://bti.cornell.edu/staff/dr-maria-harrison/,Senior,
"Jargeat, Patricia",Paul Sabatier University (FR),Europe,Cell biology,Genetics/Genomics,"Plant-fungal interactions, Taxonomy, Phylogenetics",https://edb.cnrs.fr/annuaire/patricia-jargeat/,Senior,
"Jin, Hailing","Univ California, Riverside (US)",North America,Plant Pathology,Genetics/Genomics,Plant-Microbe Interactions; RNAi; microRNA; small RNA; Botrytis,http://cepceb.ucr.edu/people/jin.html,Senior,
"Johnson, Linda",AgResearch,Australia/NZ,Plant Pathology,Cell biology,Grass endophytes,http://www.agresearch.co.nz/teams/plant-fungal-interactions/,Senior,
"Jones, Eirian",Lincoln Univeristy,Australia/NZ,Plant Pathology,Cell biology,"Trichoderma, endophytes",http://www.lincoln.ac.nz/About-Lincoln/Staff-Profiles/?letter=J&page=1&StaffID=Jones%20Eirian&filtercsv=false&title=false&intro=false&maxrows=false&noframe=false&facultybu=false&ludepartment=false&first=false&tab=false,Senior,
"Jones, Melanie","University of British Columbia, Okanagan (CA)",North America,Ecology,Evolution,Ectomycorrhizae; Plant-Microbe interactions; microbiology of forest soils; roots and hyphae physiology,http://joneslab.ok.ubc.ca/The_Jones_Lab.html,Senior,
"Kahmann, Regine",MPI-Marburg (DE),Europe,Plant Pathology,Genetics/Genomics,Plant-Microbe interactions; Ustilago,http://www.mpi-marburg.mpg.de/kahmann,Senior,
"Kaminskyj, Susan",Univ Saskatchawan (CA),North America,Biochemistry,Cell biology,"Fungal Plant Symbiosis, Cytology",http://www.usask.ca/biology/kaminskyj/,Senior,
"Keller, Nancy",Univ Wisconsin,North America,Biochemistry,Genetics/Genomics,Secondary Metabolite; Aspergillus,http://genetics.wisc.edu/Keller.htm,Senior,
"Kelly, Joan",Univ Adelaide,Australia/NZ,Biochemistry,Genetics/Genomics,"Carbon Catabolism, Aspergillus",https://biological.adelaide.edu.au/research/fhbg/,Senior,
"Kiers, Toby",Vrije Universiteit (NL),Europe,Ecology,Evolution,Plant-Microbe Interaction; Mycorrhizal Fungi,https://www.tobykiers.com/the-science/,Senior,
"Kohn, Linda",Univ Toronto (CA),North America,Genetics/Genomics,Evolution,Evolution; Population Genetics; Ascomyces,https://www.utm.utoronto.ca/~kohnmank/,Senior,
"Kues, Ursula",Georg-August-Universität (DE),Europe,Development,Genetics/Genomics,Development; Proteomics; Genetics; Basidiomycetes; Coprinopsis,https://www.uni-goettingen.de/en/57999.html,Senior,
"Kuldau, Gretchen",Penn State University,North America,Genetics/Genomics,,Fusarium mycotoxins,http://plantpath.psu.edu/directory/gak10,Senior,
"Laine, Anna-Liisa",University of Helsinki (FI),Europe,Ecology,Evolution,Ecology; Evolution; Epidemiology; Metapopulations,http://allaine.it.helsinki.fi,Senior,
"Lodge, Jennifer",Duke University (US),North America,Medical Mycology,Genetics/Genomics,Cell walls; Cryptococcus,https://research.duke.edu/profile/jennifer-lodge,Senior,
"Loros, Jennifer",Dartmouth University,North America,Genetics/Genomics,Biochemistry,Circadian Rythmns; Neurospora,https://geiselmed.dartmouth.edu/dunlaploros/,Senior,
"Lu, Ling",Nanjing Normal University (CN),Asia,,,Aspergillus spp.,http://sky.njnu.edu.cn/cn/shiziduiwu/lu-ling,Senior,
"Ma, Wenbo",The Sainsbury Institute (UK),Europe,Plant Pathology,Genetics/Genomics,oomycete-plant interactions,https://wenboma.ucr.edu/,Senior,
"Malagnac, Fabienne",University of Paris-Sud,Europe,Genetics/Genomics,Cell biology,Podospora anserina; Filamentous Ascomycetes; Sexual reproduction; Genomic stability; Epigenetics; Repeat Induced Point mutation,http://www.cgm.cnrs-gif.fr/spip.php?article976&lang=en,Senior,
Maria Nunez,Mycoteam as (NO),Europe,Ecology,Medical Mycology,"Molds, building ecology",http://www.mycoteam.no,Senior,
"Marshall, Juliet",Univ of Idaho (US),North America,,,"Plant Pathologist, disease of small grains, Fusarium, rust",https://www.uidaho.edu/cals/pses/our-people/plant-science/juliet-marshall,Senior,
"May, Georgiana",Univ of Minnesota (US),North America,Evolution,Genetics/Genomics,Genetics; Evolution; multispecies interactions,http://cbs.umn.edu/contacts/georgiana-may,Senior,
"McDougal, Rebecca",Scion Research (US),Australia/NZ,,,forest pathogens,http://www.scionresearch.com/general/about-us/our-people/people/fs/rebecca-mcdougal,Senior,
"Mellado, Emilia",Instituto de Salud Carlos III (ES),Europe,Medical Mycology,Genetics/Genomics,Azole Resistance,https://www.isciii.es/QuienesSomos/CentrosPropios/CNM/Micologia/Paginas/default.aspx,Senior,
"Mellado, Emilia",Instituto de Salud Carlos III (ES),Europe,Medical Mycology,Genetics/Genomics,"Azole resistance, genomics",https://www.isciii.es/QuienesSomos/CentrosPropios/CNM/Micologia/Paginas/default.aspx,Senior,
"Meyer, Vera",Technical University of Berlin (DE),Europe,Biotechnology,,Biotech; Aspergillus,https://www.mikrobiologie.tu-berlin.de/menue/cv_prof_vera_meyer/parameter/en/,Senior,
"Momany, Michelle",Univ Georgia (US),North America,Cell biology,Medical Mycology,Aspergillus; cytoskeleton; septins; cell cycle; conidia; antimicrobial resistance,http://www.plantbio.uga.edu/directory/michelle-momany,Senior,
"Neema, Claire",Montpellier SupAgro (FR),Europe,Plant Pathology,Ecology,Population genetics; Epidemiology; Tropical plant pathology,https://www.researchgate.net/profile/Claire_Neema,Senior,
"Nguyen, M. Hong",University of Pittsburgh,North America,,,"Med Mycol, Candida, clinical",https://www.dept-med.pitt.edu/ID/faculty_info.aspx?fp=5659,Senior,
"Ouellet, Therese",Agriculture and Agri-Food Canada,North America,Genetics/Genomics,Plant Pathology,"Plant Pathologist, fungal genomics, fungal cereal diseases",http://www.agr.gc.ca/eng/science-and-innovation/research-centres/ontario/ottawa-research-and-development-centre/scientific-staff-and-expertise/ouellet-therese-phd/?id=1181853251184,Senior,
"Pirofski, Liise-anne",Albert Einstein College of Medicine,North America,Medical Mycology,Immunology,"Capsule, antibody, cryptococcus, immunotherapy",http://www.einstein.yu.edu/faculty/8131/liise-anne-pirofski/,Senior,
"Quinn, Jan",Newcastle Univ (UK),Europe,Medical Mycology,Signaling,Candida; signalling; oxidative stress,http://www.ncl.ac.uk/camb/staff/profile/janetquinn.html,Senior,
"Réblová, Martina","Institute of Botany, Pruhonice, Czeck Republic",Europe,Evolution,,Taxonomy; pyrenomycetes,http://www.ibot.cas.cz/en/lide/114,Senior,
"Reck-Peterson, Samara",Univ California San Diego (US),North America,Cell biology,Genetics/Genomics,Cell biology; Aspergillus,http://reck-peterson.ucsd.edu/,Senior,
"Redman, Regina",Symbiogenics,North America,,,Endophytes,http://www.symbiogenics.org/about-us.html,Senior,
"Requena, Natalia",Univ. Karlsruhe (DE),Europe,Cell biology,Genetics/Genomics,Plant-Microbe interactions; Arbuscular mycorrhizal fungi,http://www.iab.kit.edu/heisenberg/Staff_454.php,Senior,
"Riquelme, Meritxell",CICESE (MX),North America,Cell biology,Genetics/Genomics,Cell Biology; Neurospora,http://usuario.cicese.mx/~riquelme/index.php,Senior,
"Ristaino, Jean",North Carolina State Univ (US),North America,Plant Pathology,Genetics/Genomics,Phytopthora population genetics,https://ristainolab.cals.ncsu.edu/,Senior,
"Robin, Cécile","INRA, Bordeaux (FR)",Europe,Ecology,Evolution,Ecology; Evolution; Epidemiology; Forest pathology; Chestnut Blight; Phytophthora,https://www6.bordeaux-aquitaine.inra.fr/biogeco/Personnel/Annuaire/Q-Z/Robin-Cecile,Senior,
"Roncero, M. Reyes",University of Cordoba (ES),Europe,Genetics/Genomics,Plant Pathology,"Fusarium, pathogenesis, signal transduction",http://www.uco.es/ingenhongos/en/index.php,Senior,
"Roux, Jolanda","Forestry and Agricultural Biotechnology Institute, Pretoria (ZA)",Africa,Plant Pathology,Genetics/Genomics,Forest Pathology; Taxonomy; Phylogeny; Population genetics; Genomics; Ceratocystis,http://www.fabinet.up.ac.za/index.php/people-profile?profile=972,Senior,
"Sbrana, Cristiana",University of Pisa (IT),Europe,Genetics/Genomics,Evolution,Mycorrhizal fungi,,Senior,
"Sejalon-Delmas, Nathalie",Paul Sabatier University (FR),Europe,Plant Pathology,Cell biology,"Cellular and Molecular Phytopathology, Plant-fungal interactions, Symbiosis",https://www.lrsv.ups-tlse.fr/nathalie-sejalon-delmas/,Senior,
"Sil, Anita","Univ California, San Francisco",North America,Genetics/Genomics,Medical Mycology,Fungal-Animal Pathogenesis; Histoplasma,http://histo.ucsf.edu/sillab/,Senior,
"Smart, Christine",Cornell University (US),North America,Plant Pathology,,"field pathogenomics, disease management, oomycte-plant interactions, oomycete plant pathogens, fungal plant pathogens",http://blogs.cornell.edu/smartlab/research/oomycete-pathogens/,Senior,
"Soares, Celia Maria de Almeida",Universidade Federal de Goiás (BR),South America,,,"med micro, Paracoccidioides",https://www.researchgate.net/profile/Celia_Soares2,Senior,
"Tang, Weihua",Shanghai Institutes for Biological Sciences (CN),Asia,,,"Fusarium graminearum, Colletotrichum graminicola",http://sippe.ac.cn/tangwh/,Senior,
"Trail, Francis",Michigan State Univ,North America,Genetics/Genomics,Development,Development; Genetics; Fusarium,http://www.psm.msu.edu/people/frances_trail,Senior,
"Treseder, Kathleen","Univ California, Irvine",North America,Ecology,Evolution,Fungal Ecology,http://www.faculty.uci.edu/profile.cfm?faculty_id=4968,Senior,
"Tripathy, Sucheta",Indian Institute of Chemical Biology ( CSIR- IICB),Asia,Genetics/Genomics,Plant Pathology,"oomycetes Genomics, Next generation and third generation sequencing, Kolkata, India, California",https://sites.google.com/site/suchetalab/,Senior,
"Tudzynski, Bettina",Univ Münster (DE),Europe,Biochemistry,Genetics/Genomics,Secondary Metabolism; Fusarium,https://www.uni-muenster.de/Biologie.IBBP/agtudzynski/arbeitsgruppe/bettina_tudzynski.html,Senior,
"Turgeon, Gillian",Cornell University (US),North America,Genetics/Genomics,Plant Pathology,Secondary Metabolism; Plant-Microbe Interactions; Cochliobolus,http://www.plantpath.cornell.edu/labs/turgeon/index.html,Senior,
"Vaillancourt, Lisa",Univ Kentucky (US),North America,Plant Pathology,Genetics/Genomics,Plant Pathology; Colletotrichum,http://www2.ca.uky.edu/agcollege/plantpathology/Vaillanc/labhp.htm,Senior,
"Valent, Barbara",Kansas State Univ,North America,Plant Pathology,Genetics/Genomics,Plant Pathology; Magnaporthe,http://www.plantpath.k-state.edu/people/faculty/valent/,Senior,
"Voigt, Kerstin",Univ of Jena (DE),Europe,Medical Mycology,Evolution,Medical Mycology; Genomics; Taxonomy; Systematics; zygomycetes,http://www.mikrobiologie.uni-jena.de/cms/index.php/en/jena-microbial-resource-collection/pd-dr-kerstin-voigt,Senior,
"Voisey, Christine",AgResearch (NZ),Australia/NZ,Plant Pathology,Cell biology,Epichloe; intercalary growth,http://www.agresearch.co.nz/teams/plant-fungal-interactions/,Senior,
"Wilkinson, Heather",Texas A&M Univ,North America,Genetics/Genomics,Evolution,Phylogenetics; Genomics; Neurospora,http://plantpathology.tamu.edu/people/wilkinson-dr-heather-h/,Senior,
"Wingfield, Brenda","Forestry and Agricultural Biotechnology Institute, Pretoria (ZA)",Africa,Plant Pathology,Genetics/Genomics,Forest Pathology; Population genetics; Genomics,http://www.fabinet.up.ac.za/index.php/people-profile?profile=908,Senior,
"Zhou, Zhi-hua",Shanghai Institutes for Biological Sciences  (CN),Asia,,,Trichoderma lignocellulolytic enzymes,http://www.sippe.ac.cn/klsb/ep4_zhouzhh.asp,Senior,
Angela María Lopez,Corporacion para Investigaciones Biologicas (COL),South America,Medical Mycology,,"Paracoccidioides, Candida, Aspergillus",https://www.researchgate.net/profile/Angela-Lopez-9,,
"de Bekker, Charissa",Utrecht University,Europe,Genetics/Genomics,Evolution,Zombie Ant; Orphiocordyceps,https://www.charissadebekker.com/,,
"Figueroa, Melania",University of Minnesota (USA),North America,Plant Pathology,Genetics/Genomics,oat crown rust,https://plpa.cfans.umn.edu/people/faculty/melania-figueroa,,
"Nev, Olga",University of Exeter (UK),Europe,Cell biology,Medical Mycology,in silico metabolism; Pneumocystis,http://biosciences.exeter.ac.uk/staff/profile/index.php?web_id=Olga_Nev,,
"Ost, Kyla",Universtiy of Colorado,North America,Immunology,Medical Mycology,"Host-pathogen interactions, adaptive immunity",,,
"Peres da Silva, Roberta",University of Exeter (UK),Europe,Genetics/Genomics,Medical Mycology,Paracocccidioides; Sporothrix; extracellular vesicles,http://biosciences.exeter.ac.uk/staff/profile/index.php?web_id=Roberta_Peres,,
"Vleeshouwers, Vivianne",Wageningen Univ (NL),Europe,Plant Pathology,,oomycete-plant interactions,https://www.wageningenur.nl/en/Persons/Vivianne-Vleeshouwers.htm,,
"Amariliz Rivera, Rutgets (not on Twitter)",,,,,,,,
"Mari Shinohara, Duke",,,,,,,,
"Lena Heung, UCLA",,,,,,,,
"Kathleen Mills, MSKCC",,,,,,,,
"-Barbara Alexander, Duke, America, Diagnostics, Clinical mycology",,,,,,,,
"-Thuy Le, Duke, Talaromyces, translational (diagnostics, therapies), clinical trials.",,,,,,,,
"-Julia Messina, Duke, translational / clinical mycology",,,,,,,,
"-Julie Steinbrink, Duke, diagnostics, host transcriptomics",,,,,,,,
"Richardson, Riina",Manchester,Europe,Medical Mycology,,clin mycology / diagnostics,,,
"Janevska, Slavica",Leibniz-HKI (DE),Europe,,,,,,
