Name,Institution (Country code),Region (select from pulldown),Research Area 1 (select from pulldown),Research Area 2 (select from pulldown),Keywords,"Lab website (research website, Not linkedIn etc)",Career Stage Jr=asst prof or equiv; Sr=full prof or equiv),
"Goss, Erica",University of Florida (US),North America,Plant Pathology,Evolution,Oomycetes; Population Genetics and Genomics; Phylogeography,http://plantpath.ifas.ufl.edu/faculty/erica-goss/,Junior,
"Grenville-Briggs, Laura",SLU (SE),Europe,Evolution,Biochemistry,Cell walls; Oomycetes; Phytophthora,http://www.slu.se/en/departments/plant-protection-biology/personnel/laura-grenville-briggs/,Junior,
"Gusa, Asiya",Duke University (US),North America,Medical Mycology,Genetics/Genomics,transposons; Cryptococcus; thermoadaptation and heat stress,https://medschool.duke.edu/profile/asiya-gusa,Junior,
"Gutjahr, Caroline",Technical University of Munich (DE),Europe,Ecology,Genetics/Genomics,"arbuscular mycorrhiza symbiosis,",https://www.professoren.tum.de/en/gutjahr-caroline,Junior,
"Hall, Rebecca",University of Birmingham Univ (UK),Europe,Cell biology,Medical Mycology,Genetics; Pathogenesis; Candida; bacterial-fungal interaction; host-pathogen interaction,http://www.birmingham.ac.uk/staff/profiles/biosciences/hall-rebecca.aspx,Junior,
"Hallen-Adams, Heather",Univ Nebraska (US),North America,Genetics/Genomics,Evolution,Food Mycology,https://foodsci.unl.edu/hallenadams,Junior,
"Hammer, Edith",Lund University (SE),Europe,Ecology,,"SoilChips, microfluidics, Mycorrhizae, Soil Ecology, microplastic, biochar;",https://www.biology.lu.se/edith-hammer,Junior,
"Hart, Miranda","University of British Columbia, Okanagan (CA)",North America,Ecology,Evolution,Soil conservation; mycorrhizal ecology,http://www.mirandahart.ca/,Junior,
"Hayden, Katherine",Royal Botanic Garden Edinburgh (UK),Europe,Ecology,Evolution,Ecology; Evolution; Epidemiology; Forest pathology; Oomycetes; Rust fungi,https://www.researchgate.net/profile/Katherine_Hayden,Junior,
"Hess, Jaqueline",University of Vienna (AT),Europe,Genetics/Genomics,Evolution,Comparative genomics of Basidiomycetes,https://molecology.univie.ac.at/about-us/jaqueline-hess/,Junior,http://soilchip.wixsite.com/soilchip;
"Hilbert, Zoë",Boston College (US),North America,Genetics/Genomics,Evolution,Experimental evolution; Cryptococcus; Host-fungal interactions,https://www.evolvingfungi.org/,Junior,
"Holland, Leslie",University of Wisconsin-Madison,North America,Evolution,Plant Pathology,Tree Crop Diseases; Fungal Taxonomy,https://scholar.google.com/citations?user=pHxdYdAAAAAJ&hl=en,Junior,
"Hopkins, Anna",Edith Cowan University (AUS),Australia/NZ,Ecology,Plant Pathology,Soil biology; mycorrhizal ecology; mycophagy; invasive pathogens,https://www.ecu.edu.au/schools/science/staff/profiles/lecturers/dr-anna-hopkins,Junior,
"Hsueh, Yen-Ping",Academia Sinica (TW),Asia,Genetics/Genomics,,Nematode Fungi interactions; Genomics,http://www.imb.sinica.edu.tw/en/research/faculty/yenping.html,Junior,
"Huberman, Lori",Cornell University (US),North America,Genetics/Genomics,Cell biology,Genetics; Neurospora; Genomic Tools,http://blogs.cornell.edu/huberman/people/,Junior,
"Hurley, Jennifer",Rensselaer Polytechnic Institute (US),North America,Genetics/Genomics,,Circadian Rythmns; Proteomics; Neurospora,http://homepages.rpi.edu/~hurlej2/,Junior,
"Joneson, Suzanne",Univ Wisconsin - Waukesha,North America,Genetics/Genomics,Evolution,Lichen; Symbiosis,http://waukesha.uwc.edu/bio/suzanne-joneson,Junior,
"Kelliher, Tina","Univ Massachusetts, Boston",North America,Genetics/Genomics,,Circadian Clocks; Neurospora,https://cmk35.github.io/,Junior,
"Kivlin, Stephanie",University of Tennessee,North America,Ecology,,,https://skivlin.wordpress.com/,Junior,
"LaBella, Abigail","Univ of North Carolina, Charlotte",North America,Genetics/Genomics,Evolution,codon usage; bioinformatics,https://www.abigailleavittlabella.com/,Junior,
"Lenardon, Megan",Univ of Sydney (AU),Australia/NZ,Medical Mycology,Genetics/Genomics,Septation; Candida,https://www.abdn.ac.uk/ims/research/microbiology/profiles/m.lenardon,Junior,
"Lenassi, Metka",Univ. Ljubljana (SI),Europe,Genetics/Genomics,Signaling,Signaling; Saccharomyces; Halophillic Fungi; Hortaea,https://www.researchgate.net/profile/Metka_Lenassi,Junior,
"Li, Mingchun",Nankai University (CN),Asia,Biotechnology,Medical Mycology,"Fungi for biofuels, biotechnology, Candida albicans",http://sky.nankai.edu.cn/english/teacher.asp?id=45,Junior,
"Liu, Miao",Agriculture and Agri-Food Canada (CA),North America,Evolution,Plant Pathology,"Evolution, genomics, Ergot, entomopathogenic fungi, rusts",http://www.agr.gc.ca/eng/science-and-innovation/research-centres/ontario/ottawa-research-and-development-centre/scientific-staff-and-expertise/,Junior,
"Lofgren, Lotus",University of California-Berkeley (CA),North America,Ecology,Genetics/Genomics,"Suillus, Mushrooms, Aspergillus",https://www.lotuslofgren.com/,Junior,
"Lowe, Elisabeth",Newcastle Univ (UK),Europe,Biochemistry,Genetics/Genomics,"bacteria-Fungi interactions; glycobiology, cell wall, microbiota",https://www.ncl.ac.uk/camb/staff/profile/elisabethlowe.html#research,Junior,
"Ma, Li-Jun","Univ Massachusetts, Amherst",North America,Genetics/Genomics,Plant Pathology,Fusarium; Comparative Genomics; Plant Pathology,https://www.biochem.umass.edu/faculty/li-jun-ma,Junior,
"Manosalva, Patty","University of California, Riverside (US)",North America,Plant Pathology,Genetics/Genomics,Phytopthora; Avocado Disease; Breeding,https://profiles.ucr.edu/app/home/profile/pmanosal,Junior,
"Martinez Suz, Laura","Royal Botanical Gardens, Kew (UK)",Europe,Evolution,Ecology,Comparative biology; Fungal Biodiversity,https://www.kew.org/science/who-we-are-and-what-we-do/people/laura-martinez-suz,Junior,
"McDonald, Tami",St. Catherine University (US),North America,,,Lichen; Symbiosis,https://www.stkate.edu/academics/our-faculty/tami-mcdonald,Junior,
"Morales Reyes, Lucia G.",Universidad Nacional Autónoma de México (MX),North America,Evolution,Genetics/Genomics,interspecific hybrids; Saccharomycotina; genomics,http://liigh.unam.mx/lmorales/,Junior,
"Moslemi, Azin",University of Melbourne,Australia/NZ,Plant Pathology,Evolution,Taxonomy; phylogeny; diagnostics,https://gcc02.safelinks.protection.outlook.com/?url=http%3A%2F%2Funimelb.academia.edu%2FAMoslemi&data=02%7C01%7C%7C7e583cfe8ed943d926cf08d730cdc066%7Ced5b36e701ee4ebc867ee03cfa0d4697%7C0%7C0%7C637031532573027882&sdata=QorXQKo%2BjdsPDTE%2FR1F4usU3uKzVfi%2FEKfYnjR6PxkY%3D&reserved=0,Junior,
"Mukaremera, Lilliane",University of Capetown (ZA),Africa,Medical Mycology,Genetics/Genomics,Cryptococcus,http://biosciences.exeter.ac.uk/staff/profile/?web_id=Liliane_Mukaremera,Junior,
"Muszewska, Ania",Institute of Biochemistry and Biophysics PAS (PL),Europe,Genetics/Genomics,Medical Mycology,"Transposons, protein family evolution, genome architecture, HGT, opportunistic pathogens, basal fungi, Mucoromycotina, Onygenales",http://www.ptmyk.pl/?page_id=428,Junior,
"Nett, Jeniel",Univ of Wisconsin-Madison,North America,,,"Med Micro, Candida",https://medmicro.wisc.edu/people_faculty_profile.php?id=jenett&view=intro,Junior,
"Niskanen, Tuula","Royal Botanical Gardens, Kew (UK)",Europe,Evolution,Ecology,Systematics; Fungal biodiversity; Taxonomy,https://www.kew.org/science/who-we-are-and-what-we-do/people/tuula-niskanen,Junior,
"Nobile, Clarrisa","Univ California, Merced",North America,Medical Mycology,Genetics/Genomics,Fungal-Animal Pathogenesis; Candida,http://faculty.ucmerced.edu/nobilelab,Junior,
"O'Meara, Teresa",University of Michigan (US),North America,Genetics/Genomics,Medical Mycology,"Host-pathogen interactions, stress, Evolution",https://medicine.umich.edu/dept/microbiology-immunology/teresa-omeara-phd,Junior,
"Opulente, Dana A",Villanova University,North America,Genetics/Genomics,Cell biology,Yeast; High-throughput phenotyping; Genomics; Sequencing,,Junior,
"Padamsee, Mahajabeen (Maj)",Manaaki whenua Land care Institute (NZ),Australia/NZ,Evolution,Plant Pathology,Systematics; Rust fungi; Plant Pathology; Evolution,https://www.landcareresearch.co.nz/about/people/staff-details?id=cGFkYW1zZWVt,Junior,
"Pawłowska, Julia",University of Warsaw (PL),Europe,Evolution,Ecology,"Systematics, Taxonomy, Mucoromycotina, phylogenetics, endophytes;",https://ibe.biol.uw.edu.pl/en/people/pawlowska/,Junior,
"Pfeufer, Emily",Univ of Kentucky (US),North America,Plant Pathology,,"Plant Pathology: vegetable disease, esp. high tunnels. Sclerotinia",http://www2.ca.uky.edu/agcollege/plantpathology/people/pfeufer.htm,Junior,
"Ponts, Nadia",INRA-Bordeaux (FR),Europe,Genetics/Genomics,,Mycotoxin; Genomics; Fusarium,https://www.researchgate.net/profile/Nadia_Ponts,Junior,
"Quandt, Alisha",University of Colorado-Boulder (US),North America,Evolution,Genetics/Genomics,Metagenomics; Mycology,http://alishaowensbyquandt.weebly.com/,Junior,
"Quesada, Lina",NC State Univ (US),North America,Plant Pathology,,Vegetable Pathology; Fungi,https://plantpathology.ces.ncsu.edu/profile/lina-quesada-ocampo/,Junior,
"Quintin, Jessica",Pasteur Inst (FR),Europe,Medical Mycology,Genetics/Genomics,Candida; innate immunity,https://research.pasteur.fr/en/member/jessica-quintin/,Junior,
"Reynolds, Hannah",Western Connecticut State Univ (US),North America,Genetics/Genomics,Ecology,"Pathogenicity, White-nose syndrome, evolution, soil",https://www.wcsu.edu/biology/surf/faculty-mentors/reynolds/,Junior,
"Reynolds, Nicole","California State Polytechnic University, Pomona (Cal Poly Pomona) (US)",North America,Evolution,Genetics/Genomics,"zygomycetes, bacteria-fungi interactions, mucoromycota, zoopagomycota",,Junior,
"Rodrigues, Celia Fortuna",University of Porto,Europe,Medical Mycology,Biotechnology,"Biofilms, Candida, Bacteria, Oral, Infections, AMR",https://lepabe.fe.up.pt/cf_rodrigues.html,Junior,
"Romero-Olivares, Adriana",New Mexico State University,North America,Ecology,Evolution,Fungi in Soils; microbial volatile organic compound,https://www.fungiloverlab.com/,Junior,
"Roy, Mélanie",University of Toulouse (FR),Europe,Ecology,Evolution,Ectomycorrhizal fungi; Symbiosis; Ecology; Phylogeny; Tropical mycology; Community ecology,https://www.researchgate.net/profile/Melanie_Roy3,Junior,
"Rúa, Megan",Wright State Univ (US),North America,Ecology,Evolution,Mycorrhizae; plant-microbe interactions; plant pathogens,https://sites.google.com/site/meganrua/home,Junior,
"Ruiz Roldán, Carmen",University of Cordoba (ES),Europe,Genetics/Genomics,Plant Pathology,"Fusarium, pathogenesis, signal transduction",http://www.uco.es/ingenhongos/en/integr_ruiz.php,Junior,
"Sakalidis, Monique",Michigan State University (US),North America,Plant Pathology,Genetics/Genomics,Forest Pathology; Species concepts; Population genetics; Phylogenetics,http://www.psm.msu.edu/people/monique_sakalidis,Junior,
"Salgado-Salazar, Catalina",ARS Systematic Mycology Lab,North America,Evolution,Plant Pathology,Taxonomy; phylogeny; diagnostics; ascomycetes,https://www.ars.usda.gov/people-locations/person?person-id=49409,Junior,
"Savage, Natasha",University of Liverpool (UK),Europe,Development,Development,Modeling,https://www.liverpool.ac.uk/integrative-biology/staff/natasha-savage/research/,Junior,
