sheet,cell,row_name,date,resolved,replies,looks_like_a_request,row_in_directory,names_not_in_directory,text
Faculty,A16,"Blair, Jaime",2020-07-24,yes,0,,yes,,Please correct spelling - Jaime
Faculty,A112,"Adams, Rachel",2020-11-29,yes,1,,yes,"Hallen-, Heather","Let's add Heather Hallen-Adams! U of Nebraska, Food Mycology

Done!"
Faculty,A1,Name,2021-02-16,yes,0,,no,,Europe
Faculty,A1,Name,2021-02-16,yes,0,,no,,Medical Mycology
Faculty,A1,Name,2021-02-16,yes,0,,no,,https://www.ene-lab.org
Faculty,A1,Name,2021-02-16,yes,0,,no,,Genetics/Genomics
Faculty,A1,Name,2021-02-16,yes,0,,no,,Junior
Faculty,A1,Name,2021-02-16,yes,0,,no,,"Candida, drug resistance, antifungals, genome evolution"
Faculty,A1,Name,2021-02-16,yes,0,,no,,"Ene, Iuliana"
Faculty,A1,Name,2021-02-16,yes,0,,no,,Institut Pasteur (FR)
Faculty,G203,"Pawłowska, Julia",2021-05-29,yes,0,,yes,,new website: https://ibe.biol.uw.edu.pl/en/people/pawlowska/
Faculty,D246,"McDonald, Megan",2021-06-05,yes,0,,yes,,Medical Mycology
Faculty,G246,"McDonald, Megan",2021-06-05,yes,0,,yes,,https://www.researchgate.net/profile/Sarah-Delliere
Faculty,A246,"McDonald, Megan",2021-06-05,yes,0,,yes,,Sarah Dellière
Faculty,C246,"McDonald, Megan",2021-06-05,yes,0,,yes,,Europe
Faculty,B246,"McDonald, Megan",2021-06-05,yes,0,,yes,,Institut Pasteur/Hôpital Saint-Louis (FR)
Faculty,H246,"McDonald, Megan",2021-06-05,yes,0,,yes,,Junior
Faculty,F246,"McDonald, Megan",2021-06-05,yes,0,,yes,,"Aspergillus, Fungal Diagnostic test, Resistance"
Faculty,B101,Ulrike Binder,2021-08-24,yes,0,,yes,,Medical University of Innsbruck (AT)
Faculty,A101,Ulrike Binder,2021-08-24,yes,0,,yes,,Ulrike Binder
Faculty,C101,Ulrike Binder,2021-08-24,yes,0,,yes,,Europe
Faculty,F101,Ulrike Binder,2021-08-24,yes,0,,yes,"Mucormycetes, Antifungals","Mucormycetes, Antifungals, host pathogen interactions"
Faculty,D101,Ulrike Binder,2021-08-24,yes,0,,yes,,Medical Mycology
Faculty,H101,Ulrike Binder,2021-08-24,yes,0,,yes,,intermediate
Faculty,G101,Ulrike Binder,2021-08-24,yes,0,,yes,,https://www.i-med.ac.at/hygiene/forschungsbindercvv2.html.de
Faculty,A1,Name,2022-03-09,yes,2,yes,no,,"Hello, I would like to be added: Neta Shlezinger, The Hebrew University of Jerusalem. Area of research:  medical mycology, microbial pathogenesis. Key words: Mycoviruses, medical mycology, antifungal immunity.  Lab website: www.shlezingerlab.com, https://zuckerman-scholars.org/lab/the-shlezinger-lab/

Hi Neta I can add you as an editor to add yourself.

Thanks Jason 🙏"
Faculty,A1,Name,2022-03-09,yes,1,,no,"Meisosis, Heterkaryosis","Hi, I would also like to be added,
Eveline Snelders, Wageningen University & Research, Europe, Area of research: Medical Mycology, Genetics/Genomics, Evolution. Key words: Antifungal resistance, fungal genetics, Aspergillus fumigatus, Self non self recognition, Meisosis, Heterkaryosis, CRIPSRcas9. Website: https://www.wur.nl/en/Persons/Eveline-E-Eveline-Snelders-PhD-MSc.htm

Addres you Eveline
Marked as resolved"
Faculty,H247,"Rhodes, Johanna",2022-03-09,yes,0,,yes,,Intermediate
Faculty,I247,"Rhodes, Johanna",2022-03-09,yes,1,,yes,,"Thanks for putting this together - great idea!

You got it. Sorry you were not already on the list. Thanks for helping us crowd source the curation
Marked as resolved"
Faculty,G247,"Rhodes, Johanna",2022-03-09,yes,0,,yes,,https://www.ucmerced.edu/content/katrina-k-hoyer
Faculty,E247,"Rhodes, Johanna",2022-03-09,yes,0,,yes,,Medical Mycology
Faculty,F247,"Rhodes, Johanna",2022-03-09,yes,0,,yes,,"Coccidioides, animal models, immune therapies"
Faculty,D247,"Rhodes, Johanna",2022-03-09,yes,0,,yes,,Immunology
Faculty,C247,"Rhodes, Johanna",2022-03-09,yes,0,,yes,,North America
Faculty,A247,"Rhodes, Johanna",2022-03-09,yes,0,,yes,,"Hoyer, Katrina"
Faculty,B247,"Rhodes, Johanna",2022-03-09,yes,0,,yes,,University of California Merced
Faculty,A112,"Adams, Rachel",2022-03-09,yes,3,,yes,"Alastruey-, Ana; Alcazar-, Laura","Hello, I have a few names in mind:

Emilia Mellado, Instituto de Salud Carlos III, Europe, Medical Mycology, Genetics/genomics, Azole resistance, Senior https://www.isciii.es/QuienesSomos/CentrosPropios/CNM/Micologia/Paginas/default.aspx

Laura Alcazar-Fuoli, Instituto de Salud Carlos III, Europe, Medical Mycology, inmunology, Azole resistance, Junior, https://www.isciii.es/QuienesSomos/CentrosPropios/CNM/Micologia/Paginas/default.aspx

Ana Alastruey-Izquierdo, , Medical Mycology, cell biology, Azole resistance, Intermediate, https://www.isciii.es/QuienesSomos/CentrosPropios/CNM/Micologia/Paginas/default.aspx

Slavena Vilkova, Hans-Knoll Institute (DE), Europe, Medical Mycology,  host fungal interaction, Intermidiate, https://www.leibniz-hki.de/en/staff-details.html?member=846

Margherita Bertuzzi, University of Manchester (UK), Europe, Medical mycology, cell biology, Intermediate, https://www.research.manchester.ac.uk/portal/margherita.bertuzzi.html

Sara Gago, University of Manchester, Europe, Medical mycology, cell biology,  Junior, https://www.research.manchester.ac.uk/portal/sara.gago-2.html

Teresa Zalante, University of Perugia (IT), Europe, immunology, medical mycology, Intermidiate, https://www.unipg.it/personale/teresa.zelante

Cristina Cunha, University of Mino (PT), Europe, Medical mycology, Genetics/genomics, Junior, http://www.icvs.uminho.pt/about-icvs/people/cristinacunha

Thanks. I’ll add these names - appreciate the help curating the lists

Marked as resolved

Re-opened"
